Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Spain,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,38320.46,33805.2,34767.3,36264.84,34542.65,32397.3,30043.11,33119.66,31732.69,30687.96,30822.43,25948.28,24697.69,29357.78,27284.74,23347.53,21900.94,21027.28,19147.74,14463.93,13763.11,14110.82
Spain,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,40390.84,32583.68,37407.11,40958.02,37701.13,34236.44,33338.53,38888.54,36264.44,35170.24,39759.29,34509.76,33663.7,46500.14,48050.27,42105.96,40840.97,39192.65,34835.47,27251.19,25956.86,26690.91
Spain,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,21704.47,18748.47,22016.85,21961.68,21146.61,22219.74,20200.82,22095.9,21382.18,18309.89,19359.54,15297.11,14081.72,19743.92,19584.49,17054.73,16201.49,16335.46,15068.09,12150.45,10485.67,9390.94
Spain,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,59692.08,48194.76,49138.8,51344.68,46732.94,43216.46,42853.03,50299.13,50369.42,47017.18,51723.64,44989.05,43148.95,50890.64,47713.51,40056.71,36990.4,34979.59,31019.05,23943.86,22667.97,22217.63
Spain,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,31421.64,23406.43,25988.83,26987.46,24982.1,22424.32,20606.74,23139.23,21838.21,21594.9,24409.14,21855.43,18237.42,22393.74,22597.49,18247.16,16112.35,16226.99,15558.85,11855.61,10472.21,9995.26
Spain,Portugal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,29415.99,22626.71,24523.33,25172.53,22615.93,19956.19,19815.31,23577.91,22864.86,20346.18,24436.54,21790.43,20523.08,24669.3,21949.59,19056.49,18456.01,17522.03,15168.49,12807.32,11836.89,10914.85
Spain,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,26751.95,20338.28,23024.82,25030.82,22909.45,19893.88,19097.26,21020.18,19774.08,20756.51,24098.27,22485.58,20804.55,32187.49,34114.85,27273.2,24728.63,23409.74,19389.11,15016.89,14301.6,13922.04
Finland,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12540.3,10536.92,11421.92,11905.11,10663.85,8816.94,8990.54,10168.29,9536.19,9101.81,11446.77,9040.35,8914.93,12881.71,11399.06,9607.84,8710.67,7412.94,6141.03,4826.85,4798.59,4812.98
Finland,Sweden,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8353.45,6818.13,7473.36,7691.32,6855.17,6083.21,6049.93,8158.53,8532.19,7980.38,9274.13,7938.1,6142.9,9741.14,9629.54,8050.44,6981.89,6739.52,5197.71,3720.89,3660.1,4137.09
Finland,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10755.51,8886.35,10440.9,11156.09,9398.92,7363.69,8099.89,8633.79,6896.71,6408.62,7410.03,6576.54,6491.01,9692.07,9806.28,8187.57,6800.77,6505.02,6217.68,5123.51,5331.36,5553.32
Finland,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10051.97,6675.08,10007.14,10892.06,9206.27,6701.56,6587.28,11377.22,13929.32,13415.95,15271.5,12188.0,9797.6,15024.9,11520.4,9747.88,8124.9,6618.35,4939.09,3369.16,3160.96,3165.37
